PMATPUB_EF;PMATPUB_EM;DIST_EF_PUB;DIST_EM_PUB;IDEB_AI;IDEB_AF;DOCSUP_EF_PUB;DOCSUP_EM_PUB;TXMOINF;TXBRUTAMORT;TXCOBPLP;PINTERSAP;PINTERDRSAI;REN_TRPCBF_D;REN_TRPCBPC_D;PDEFAGUA;PDEFESGOTO;PDEFLIXO;PDEFSAN;PPOB_POS;PBF;SNIS_PAGUA;PFOCOS;POP_TOT;NOME;IBGE;estado;municipio;data;casosAcumulado;obitosAcumulado;interior/metropolitana;Região;Porte;Capital;ESPVIDA;MORT1;T_ENV;RAZDEP;ANOSEST;T_ANALF15M;T_ATRASO_2_BASICO;T_ATRASO_2_FUND;T_FUND15A17;R1040;RDPC;RDPC1;RDPC4;RMPOB;RPOB;PMPOB;PPOB;GINI;POP;POPTOT;IDHM_E;IDHM_L;IDHM_R;IDHM;LON;LAT;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
95.39;93.82;18.9;28.0;6.1;5.2;65.8;56.6;8.27;4.78;5.39;30.79;1.61;47.53;240.06;72.68;96.81;23.09;22.5;78.42;54.91;62.75;0.06;55871;Jaru;110011;RO;Jaru;2020-11-01;1984;29;0;Região Norte;Médio;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-62.4792;-10.4322;3207;1984;1893;2262;3271;3213;4687;4540;4208;3396;3535;3051;2436
91.44;92.26;16.7;24.5;6.2;4.8;68.8;51.6;11.22;5.16;10.17;24.05;2.0;29.75;218.65;54.57;72.93;12.11;9.52;69.74;33.17;68.89;0.18;132667;Ji-Paraná;110012;RO;Ji-Paraná;2020-11-01;3478;86;0;Região Norte;Grande;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-61.9326;-10.8782;3295;2085;2075;2420;3313;3341;4566;4507;4275;3334;3687;3265;2665
97.24;98.36;29.7;38.1;5.2;4.8;59.8;33.0;6.68;3.57;1.76;30.41;4.51;61.47;136.34;72.65;95.93;55.78;53.42;86.61;60.98;65.91;4.34;38609;Machadinho D'Oeste;110013;RO;Machadinho D'Oeste;2020-11-01;1571;10;0;Região Norte;Pequeno II;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-61.9976;-9.4275;3073;1749;1879;2138;2829;3147;4709;4661;4155;3179;3380;2711;2340
100.0;100.0;16.0;36.0;7.2;6.0;73.1;56.7;0.0;3.77;1.79;47.54;15.04;83.94;122.44;79.35;97.47;64.14;62.13;81.35;59.84;88.95;0.11;21747;Nova Brasilândia D'Oeste;110014;RO;Nova Brasilândia D'Oeste;2020-11-01;341;4;0;Região Norte;Pequeno I;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-62.3131;-11.7251;3322;2111;1979;2373;3333;3230;4654;4664;4675;3507;3640;3099;2604
95.03;98.42;19.6;35.2;5.8;5.0;76.1;61.5;5.19;5.76;7.35;31.26;4.1;28.76;259.23;48.97;85.81;18.89;17.16;65.49;35.99;82.72;1.0;39759;Ouro Preto do Oeste;110015;RO;Ouro Preto do Oeste;2020-11-01;1019;26;0;Região Norte;Pequeno II;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-62.257;-10.7171;3248;2135;1795;2327;3266;3369;4628;4569;4367;3289;3583;3161;2488
95.63;97.33;18.1;34.2;6.2;4.8;57.8;57.1;14.63;5.1;8.84;38.94;7.97;33.39;209.33;34.5;95.19;18.42;17.12;69.77;45.3;90.94;0.86;38051;Pimenta Bueno;110018;RO;Pimenta Bueno;2020-11-01;701;13;0;Região Norte;Pequeno II;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-61.1984;-11.6724;3432;2222;2014;2564;3377;3708;4783;4894;4711;3400;3556;3220;2740
86.45;90.11;25.1;38.4;5.3;4.5;68.4;58.1;13.75;4.41;16.97;12.53;0.93;53.64;206.64;58.88;47.06;10.81;8.11;78.49;56.4;34.85;13.62;519436;Porto Velho;110020;RO;Porto Velho;2020-11-01;32906;764;1;Região Norte;Grande;1;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-63.9008;-8.7616;3025;1871;2069;2138;2876;2861;4210;4495;4188;3314;3367;2656;2248
100.0;100.0;16.5;26.8;6.3;5.4;69.0;60.3;38.06;6.69;5.98;26.86;1.52;122.73;194.01;63.85;73.5;34.04;25.26;74.79;61.27;87.46;0.04;22124;Presidente Médici;110025;RO;Presidente Médici;2020-11-01;551;10;0;Região Norte;Pequeno II;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-61.8991;-11.1694;3387;2237;2002;2542;3383;3507;4700;4661;4412;3456;3783;3263;2692
100.0;100.0;30.0;32.0;5.1;4.5;69.1;46.4;0.0;2.35;2.35;33.71;7.07;78.24;80.03;83.4;56.34;65.67;44.31;86.66;65.11;52.07;0.42;3829;Rio Crespo;110026;RO;Rio Crespo;2020-11-01;128;0;0;Região Norte;Pequeno I;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-62.8985;-9.7049;3096;1866;1947;2111;2978;3137;4433;4419;4132;3268;3435;2981;2444
96.06;96.17;17.0;32.6;6.4;5.3;74.2;55.3;5.19;4.61;5.11;29.53;4.24;25.85;199.99;41.97;75.89;14.56;12.74;73.63;43.63;100.0;0.06;57074;Rolim de Moura;110028;RO;Rolim de Moura;2020-11-01;1769;23;0;Região Norte;Médio;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-61.7719;-11.7275;3392;2158;2023;2630;3382;3522;4685;4809;4453;3515;3678;3183;2666
100.0;100.0;15.9;19.7;6.8;5.5;68.3;67.8;8.93;5.0;2.67;37.69;14.7;61.87;118.22;71.07;99.96;45.92;45.1;72.73;52.13;78.97;0.03;8198;Santa Luzia D'Oeste;110029;RO;Santa Luzia D'Oeste;2020-11-01;156;1;0;Região Norte;Pequeno I;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-61.7781;-11.9078;3465;2279;2025;2659;3479;3653;4725;4804;4664;3579;3696;3302;2716
90.43;90.62;13.9;29.8;5.9;4.9;73.7;64.7;15.02;4.61;11.29;18.24;1.88;42.27;182.91;3.64;47.5;5.43;2.11;77.38;54.36;95.15;0.88;95630;Vilhena;110030;RO;Vilhena;2020-11-01;4058;66;0;Região Norte;Médio;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-60.1493;-12.7506;3405;2278;1975;2387;3474;3939;4770;4930;4914;3271;3292;2947;2684
97.87;100.0;14.3;25.0;5.7;5.3;64.9;63.5;16.13;3.43;1.91;31.2;3.05;49.97;113.45;94.99;97.76;53.58;52.76;75.88;50.51;42.02;0.63;24181;São Miguel do Guaporé;110032;RO;São Miguel do Guaporé;2020-11-01;913;16;0;Região Norte;Pequeno II;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-62.7197;-11.6957;3393;2189;2110;2433;3375;3267;4573;4806;4569;3716;3676;3277;2720
97.35;100.0;26.3;33.7;5.2;4.0;43.4;41.6;18.48;4.26;1.28;34.4;5.36;74.27;158.19;97.09;86.59;53.17;47.24;84.93;57.24;16.66;5.3;28891;Nova Mamoré;110033;RO;Nova Mamoré;2020-11-01;1244;7;0;Região Norte;Pequeno II;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-65.3351;-10.4081;3275;2309;2247;2240;3104;3071;4185;4503;4424;3715;3759;3014;2729
100.0;100.0;18.0;24.0;5.8;4.8;58.5;31.4;16.85;4.84;3.67;36.06;3.37;101.52;155.7;52.14;40.68;44.24;28.73;81.51;65.85;99.91;0.1;16747;Alvorada D'Oeste;110034;RO;Alvorada D'Oeste;2020-11-01;152;7;0;Região Norte;Pequeno I;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-62.2852;-11.3467;3367;2147;2126;2486;3438;3423;4621;4750;4548;3415;3561;3261;2629
