"perc_matricula_epf";"perc_matricula_epm";"tx_distorcao_idade_serie_epf";"tx_distorcao_idade_serie_epm";"ideb_ai_ef";"ideb_ai_em";"perc_docente_epf";"perc_docente_epm";"tx_mortalidade_infantil";"tx_mortalidade_bruta";"perc_pop_cobertura_plano_saude";"perc_internacao_falha_aps";"perc_internacao_falha_saneamento";"vl_per_capita_bolsa_familia";"vl_per_capita_beneficio_prestacao_continuada";"perc_pop_cadunico_sem_abastecimento_agua";"perc_pop_cadunico_sem_esgotamento_sanitario";"perc_pop_cadunico_sem_coleta_lixo";"perc_pop_cadunico_sem_saneamento";"perc_pop_pobre_cadunico";"perc_pop_cadunico_bolsa_familia";"perc_pop_urbana_com_abastecimento_agua";"perc_participacao_queimadas_brasil";"cobertura_ab";"incidencia";"letalidade";"label"
100;100;18;24;5,8;4,8;58,5;31,4;16,85;4,84;3,67;36,06;3,37;101,52;155,7;52,14;40,68;44,24;28,73;81,51;65,85;99,91;0,1;46,87;907,625246312772;4,60526315789474;"Grave"
99,77;100;22,8;30,4;5,8;4,4;74,2;54;11,63;3,84;0,89;49,95;20,15;71,81;52,46;89,3;98,01;57,67;55,87;86,36;69,14;76,95;0,24;100;1502,31399074404;4,2654028436019;"Grave"
100;100;20,2;32,8;5,7;4,3;36,4;52,1;20,66;3,39;1,53;32,87;5,39;64,74;110,23;97,02;97,1;57,18;55,56;80,87;58,07;13,9;2,42;82,15;1812,00994454007;2,11081794195251;"Grave"
98,14;100;20,3;32,1;5,6;4,9;60,4;56,3;20,57;4,17;1,59;27,07;1,64;68,24;165,14;97,63;86,42;36,1;30,4;91,14;71,24;16,23;2,03;69,73;1992,62370658744;1,2853470437018;"Moderado"
100;74,04;21,5;27,4;5,8;5,8;62,5;48,4;0;4,58;1,7;40,65;8,97;78,22;68,17;74,45;70,15;61,12;46,63;82,22;61,72;100;0,02;100;696,448114615461;1,42857142857143;"Moderado"
100;100;21,7;24,6;5,8;4;67;47,5;0;2,94;2,03;27,37;1,41;45,37;98,34;93,14;97,14;48,25;46,89;76,95;50,55;31,93;0,18;55,74;1300,30959752322;0;"Moderado"
100;100;30,1;32,5;5,3;4,7;57,5;40,7;5,75;2,83;0,53;38,29;7,66;74,53;63,61;71,81;88,45;66,79;63,48;78,97;59,35;100;0,49;98,51;1187,5172604253;3,48837209302326;"Grave"
100;100;33,6;47,1;4,4;4,1;65,5;48,9;7,56;5,18;2,44;15,09;1,09;116,26;110,55;20,92;19,48;17,42;10,26;81,94;70,58;74,66;3,47;100;5877,46378532415;2,15488215488215;"Grave"
100;100;18,4;41,4;5,2;4,3;42,6;56,3;11,83;3,02;1,67;13,47;0,82;80,92;71,02;38,35;36,96;39,37;23,41;86,52;65,12;0;0,27;100;7287,83158689701;0,906735751295337;"Grave"
96,34;100;30,9;39;4,5;4,2;61,5;23,4;9,57;2,45;0,88;31,65;4,63;71,1;62,43;93,75;97,8;41,33;41,04;82,65;64,75;12,57;3,01;59,19;1956,06647952591;1,82232346241458;"Moderado"
